pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,0.180132,17.000000,17828.933105,0.376570,0.417206,K,,2026-04-09T16:17:20
2,0,0.256488,43.000000,24712.874512,0.159355,0.521627,K,,2026-04-09T16:17:22
3,1,0.140526,15.000000,7410.402832,0.472456,0.324171,K,,2026-04-09T16:17:30
4,0,0.147227,13.000000,16112.069580,0.286747,0.385495,K,,2026-04-09T16:17:31
5,0,0.186585,17.000000,11561.095947,0.407210,0.438715,K,,2026-04-09T16:17:33
6,1,0.313355,7.000000,6191.392090,0.580345,0.814632,K,,2026-04-09T16:17:35
7,0,0.235624,24.000000,17111.033936,0.255784,0.465727,K,,2026-04-09T16:17:36
8,0,0.242052,42.000000,27824.931152,0.262657,0.473506,K,,2026-04-09T16:17:37
9,3,0.552402,6.000000,4632.296631,0.646394,0.958121,K,,2026-04-09T16:17:44
10,0,0.182033,17.000000,15455.859863,0.270323,0.423542,K,,2026-04-09T16:17:46
11,0,0.269973,34.000000,31933.386963,0.218888,0.566576,K,,2026-04-09T16:17:48
12,1,0.149128,19.000000,20260.309082,0.531171,0.240414,K,,2026-04-09T16:17:50
13,0,0.152529,16.000000,11162.988770,0.389049,0.344687,K,,2026-04-09T16:17:50
14,0,0.155462,18.000000,19662.906006,0.366006,0.315478,K,,2026-04-09T16:17:51
15,2,0.436923,29.000000,18731.148926,0.143763,0.909598,K,,2026-04-09T16:17:53
16,0,0.169184,16.000000,11242.178223,0.445886,0.400202,K,,2026-04-09T16:17:54
17,1,0.349687,19.000000,15371.144775,0.340168,0.648713,K,,2026-04-09T16:17:56
18,1,0.365782,48.000000,16662.284668,0.150515,0.885940,K,,2026-04-09T16:17:57
19,0,0.220343,47.000000,17598.317871,0.491546,0.401144,K,,2026-04-09T16:17:58
20,2,0.452587,12.000000,8756.039063,0.340918,0.936740,K,,2026-04-09T16:17:59
21,1,0.222193,30.000000,19303.295654,0.328362,0.407311,K,,2026-04-09T16:18:00
22,0,0.241735,47.000000,18885.856934,0.277869,0.472450,K,,2026-04-09T16:18:03
23,0,0.237522,42.000000,20592.962646,0.245546,0.458408,K,,2026-04-09T16:18:04
24,2,0.411247,8.000000,4007.139160,0.631318,0.930565,K,,2026-04-09T16:18:09
25,1,0.312154,21.000000,22651.967773,0.369002,0.779305,K,,2026-04-09T16:18:11
26,0,0.138975,12.000000,12417.167480,0.402252,0.346886,K,,2026-04-09T16:18:12
27,3,0.302274,6.000000,3909.911377,0.565053,0.838469,K,,2026-04-09T16:18:14
28,0,0.198834,19.000000,12903.377686,0.278596,0.440558,K,,2026-04-09T16:18:15
29,0,0.210698,22.000000,5254.295898,0.269093,0.421625,K,,2026-04-09T16:18:16
