pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,K,,2026-04-09T17:30:59
2,0,,,,,,K,,2026-04-09T17:31:00
3,0,,,,,,K,,2026-04-09T17:31:00
4,0,,,,,,K,,2026-04-09T17:31:00
5,0,,,,,,K,,2026-04-09T17:31:01
6,0,,,,,,K,,2026-04-09T17:31:01
7,0,,,,,,K,,2026-04-09T17:31:01
8,0,,,,,,K,,2026-04-09T17:31:02
9,0,,,,,,K,,2026-04-09T17:31:02
10,0,,,,,,K,,2026-04-09T17:31:02
11,0,,,,,,K,,2026-04-09T17:31:03
12,0,,,,,,K,,2026-04-09T17:31:03
13,0,0.152529,16.000000,11162.988770,0.389049,0.344687,K,,2026-04-09T17:31:04
14,0,0.155462,18.000000,19662.906006,0.366006,0.315478,K,,2026-04-09T17:31:04
15,0,0.436923,29.000000,18731.148926,0.143763,0.909598,K,,2026-04-09T17:31:05
16,0,0.169184,16.000000,11242.178223,0.445886,0.400202,K,,2026-04-09T17:31:05
17,0,0.349687,19.000000,15371.144775,0.340168,0.648713,K,,2026-04-09T17:31:05
18,0,0.365782,48.000000,16662.284668,0.150515,0.885940,K,,2026-04-09T17:31:05
19,0,0.220343,47.000000,17598.317871,0.491546,0.401144,K,,2026-04-09T17:31:06
20,0,0.452587,12.000000,8756.039063,0.340918,0.936740,K,,2026-04-09T17:31:06
21,0,0.347311,22.000000,17457.335205,0.241801,0.877003,K,,2026-04-09T17:31:06
22,0,0.241735,47.000000,18885.856934,0.277869,0.472450,K,,2026-04-09T17:31:07
23,0,0.237522,42.000000,20592.962646,0.245546,0.458408,K,,2026-04-09T17:31:07
24,0,0.411247,8.000000,4007.139160,0.631318,0.930565,K,,2026-04-09T17:31:08
25,0,0.312154,21.000000,22651.967773,0.369002,0.779305,K,,2026-04-09T17:31:08
26,0,0.138975,12.000000,12417.167480,0.402252,0.346886,K,,2026-04-09T17:31:09
27,0,0.302274,6.000000,3909.911377,0.565053,0.838469,K,,2026-04-09T17:31:09
28,0,0.198834,19.000000,12903.377686,0.278596,0.440558,K,,2026-04-09T17:31:09
29,0,0.210698,22.000000,5254.295898,0.269093,0.421625,K,,2026-04-09T17:31:10
30,0,0.429515,7.000000,6131.218994,0.609383,0.704051,K,,2026-04-09T17:31:10
31,0,0.254276,43.000000,18941.149414,0.259470,0.514255,K,,2026-04-09T17:31:11
32,0,0.168611,13.000000,12296.273682,0.247347,0.456775,K,,2026-04-09T17:31:11
33,0,0.457015,4.000000,1712.392578,0.699317,0.771109,K,,2026-04-09T17:31:11
34,0,0.213660,46.000000,16109.016357,0.494503,0.244757,K,,2026-04-09T17:31:11
35,0,0.221209,43.000000,25304.222900,0.174545,0.404030,K,,2026-04-09T17:31:12
36,0,0.413001,5.000000,3783.963623,0.639609,0.911260,K,,2026-04-09T17:31:12
37,0,0.247748,24.000000,21868.415771,0.237289,0.506140,K,,2026-04-09T17:31:12
38,0,0.270995,46.000000,16650.499512,0.203201,0.569982,K,,2026-04-09T17:31:12
39,0,0.357777,23.000000,18980.624268,0.138915,0.892395,K,,2026-04-09T17:31:13
40,0,0.240876,39.000000,14817.676514,0.172360,0.469588,K,,2026-04-09T17:31:13
41,0,0.211206,49.000000,15680.664551,0.294602,0.370687,K,,2026-04-09T17:31:14
