pair_id,label,annotator,note,timestamp
1,0,anonymous,,2026-03-18T15:25:00
2,0,anonymous,,2026-03-18T15:25:00
3,0,anonymous,,2026-03-18T15:25:00
4,0,anonymous,,2026-03-18T15:25:01
5,0,anonymous,,2026-03-18T15:25:01
6,0,anonymous,,2026-03-18T15:25:02
7,0,anonymous,,2026-03-18T15:25:02
8,0,anonymous,,2026-03-18T15:25:02
9,0,anonymous,,2026-03-18T15:25:03
10,0,anonymous,,2026-03-18T15:25:03
11,0,anonymous,,2026-03-18T15:25:03
12,0,anonymous,,2026-03-18T15:25:04
13,0,anonymous,,2026-03-18T15:25:04
14,0,anonymous,,2026-03-18T15:25:04
15,0,anonymous,,2026-03-18T15:25:05
16,0,anonymous,,2026-03-18T15:25:05
17,0,anonymous,,2026-03-18T15:25:06
