pair_id,label,annotator,note,timestamp
1,0,anonymous,,2026-03-18T15:13:38
2,0,anonymous,,2026-03-18T15:13:39
3,1,anonymous,,2026-03-18T15:13:46
4,0,anonymous,,2026-03-18T15:13:47
5,0,anonymous,,2026-03-18T15:13:49
6,1,anonymous,,2026-03-18T15:13:51
7,0,anonymous,,2026-03-18T15:13:52
8,0,anonymous,,2026-03-18T15:13:53
9,2,anonymous,,2026-03-18T15:14:03
10,0,anonymous,,2026-03-18T15:14:10
11,0,anonymous,,2026-03-18T15:14:11
12,1,anonymous,,2026-03-18T15:14:13
13,0,anonymous,,2026-03-18T15:14:14
14,0,anonymous,,2026-03-18T15:14:15
15,2,anonymous,,2026-03-18T15:14:17
