pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,anonymous,,2026-04-12T19:51:39
2,0,,,,,,anonymous,,2026-04-12T19:51:40
3,2,0.371679,23.000000,5788.830078,0.337294,0.938734,anonymous,,2026-04-12T19:51:43
4,0,0.147227,13.000000,16112.069580,0.286747,0.385495,anonymous,,2026-04-12T19:51:46
5,0,0.186585,17.000000,11561.095947,0.407210,0.438715,anonymous,,2026-04-12T19:51:47
6,1,0.313575,7.000000,6184.038574,0.580673,0.814061,anonymous,,2026-04-12T19:51:49
7,0,0.235624,24.000000,17111.033936,0.255784,0.465727,anonymous,,2026-04-12T19:51:50
8,0,0.242052,42.000000,27824.931152,0.262657,0.473506,anonymous,,2026-04-12T19:51:50
9,3,0.552589,6.000000,4631.767578,0.646438,0.958130,anonymous,,2026-04-12T19:51:55
10,0,0.182033,17.000000,15455.859863,0.270323,0.423542,anonymous,,2026-04-12T19:51:55
11,0,0.269973,34.000000,31933.386963,0.218888,0.566576,anonymous,,2026-04-12T19:51:56
12,2,0.277249,16.000000,16710.375000,0.529867,0.731142,anonymous,,2026-04-12T19:51:58
13,0,0.152529,16.000000,11162.988770,0.389049,0.344687,anonymous,,2026-04-12T19:51:58
14,0,0.155462,18.000000,19662.906006,0.366006,0.315478,anonymous,,2026-04-12T19:51:59
15,2,0.437055,29.000000,18732.806641,0.143791,0.909375,anonymous,,2026-04-12T19:52:05
16,0,0.169184,16.000000,11242.178223,0.445886,0.400202,anonymous,,2026-04-12T19:52:05
17,1,0.349687,19.000000,15371.144775,0.340168,0.648713,anonymous,,2026-04-12T19:52:07
18,1,0.365797,48.000000,16663.854248,0.150518,0.885990,anonymous,,2026-04-12T19:52:08
19,0,0.220343,47.000000,17598.317871,0.491546,0.401144,anonymous,,2026-04-12T19:52:08
20,2,0.452587,12.000000,8756.039063,0.340918,0.936740,anonymous,,2026-04-12T19:52:10
21,2,0.341984,22.000000,17196.684570,0.242016,0.859246,anonymous,,2026-04-12T19:52:12
22,0,0.241735,47.000000,18885.856934,0.277869,0.472450,anonymous,,2026-04-12T19:52:12
23,0,0.237522,42.000000,20592.962646,0.245546,0.458408,anonymous,,2026-04-12T19:52:13
24,2,0.411166,8.000000,4007.555908,0.631279,0.930449,anonymous,,2026-04-12T19:52:16
25,1,0.312154,21.000000,22651.967773,0.369002,0.779305,anonymous,,2026-04-12T19:52:19
26,0,0.138975,12.000000,12417.167480,0.402252,0.346886,anonymous,,2026-04-12T19:52:19
27,2,0.332754,6.000000,3650.458496,0.589226,0.843999,anonymous,,2026-04-12T19:52:23
28,0,0.198834,19.000000,12903.377686,0.278596,0.440558,anonymous,,2026-04-12T19:52:23
29,0,0.210698,22.000000,5254.295898,0.269093,0.421625,anonymous,,2026-04-12T19:52:24
30,1,0.290549,24.000000,15859.481445,0.352343,0.648809,anonymous,,2026-04-12T19:52:29
31,0,0.254276,43.000000,18941.149414,0.259470,0.514255,anonymous,,2026-04-12T19:52:29
32,0,0.168611,13.000000,12296.273682,0.247347,0.456775,anonymous,,2026-04-12T19:52:30
33,2,0.475689,4.000000,1683.578857,0.715015,0.768906,anonymous,,2026-04-12T19:52:32
34,0,0.213660,46.000000,16109.016357,0.494503,0.244757,anonymous,,2026-04-12T19:52:32
35,0,0.221209,43.000000,25304.222900,0.174545,0.404030,anonymous,,2026-04-12T19:52:33
36,2,0.420866,5.000000,3653.096924,0.645905,0.912454,anonymous,,2026-04-12T19:52:38
37,0,0.247748,24.000000,21868.415771,0.237289,0.506140,anonymous,,2026-04-12T19:52:38
38,0,0.270995,46.000000,16650.499512,0.203201,0.569982,anonymous,,2026-04-12T19:52:40
39,2,0.358809,23.000000,18961.826660,0.142643,0.895836,anonymous,,2026-04-12T19:52:43
40,0,0.240876,39.000000,14817.676514,0.172360,0.469588,anonymous,,2026-04-12T19:52:44
41,0,0.211206,49.000000,15680.664551,0.294602,0.370687,anonymous,,2026-04-12T19:52:45
42,2,0.426629,8.000000,5674.336426,0.542587,0.938619,anonymous,,2026-04-12T19:52:48
43,0,0.214007,49.000000,18352.336426,0.283975,0.380023,anonymous,,2026-04-12T19:52:48
44,0,0.200790,24.000000,17119.027100,0.248998,0.349612,anonymous,,2026-04-12T19:52:49
45,1,0.300580,15.000000,9933.557617,0.328889,0.857685,anonymous,,2026-04-12T19:52:50
46,0,0.225549,16.000000,21488.289063,0.268009,0.588087,anonymous,,2026-04-12T19:52:52
47,0,0.244858,45.000000,18265.008545,0.242738,0.482859,anonymous,,2026-04-12T19:52:52
48,3,0.636641,8.000000,1754.145264,0.725497,0.890045,anonymous,,2026-04-12T19:52:54
49,0,0.117468,15.000000,13550.195557,0.408874,0.247311,anonymous,,2026-04-12T19:52:55
50,0,0.219102,45.000000,25366.319092,0.214284,0.397008,anonymous,,2026-04-12T19:52:55
51,1,0.429905,43.000000,12487.451904,0.326597,0.883260,anonymous,,2026-04-12T19:52:58
52,0,0.166859,24.000000,13288.288330,0.377754,0.236510,anonymous,,2026-04-12T19:52:58
53,1,0.290330,39.000000,19255.374756,0.205254,0.634433,anonymous,,2026-04-12T19:53:00
54,1,0.262384,13.000000,14588.463623,0.291493,0.769349,anonymous,,2026-04-12T19:53:02
55,0,0.167021,17.000000,11819.327637,0.376573,0.337163,anonymous,,2026-04-12T19:53:03
56,0,0.228628,38.000000,23847.997803,0.239965,0.428760,anonymous,,2026-04-12T19:53:04
57,2,0.471306,44.000000,14818.050781,0.241046,0.906188,anonymous,,2026-04-12T19:53:07
58,0,0.230309,43.000000,14989.021729,0.424188,0.391621,anonymous,,2026-04-12T19:53:07
59,1,0.345594,18.000000,14600.377441,0.410975,0.652429,anonymous,,2026-04-12T19:53:08
60,2,0.370978,12.000000,5773.579590,0.580572,0.920036,anonymous,,2026-04-12T19:53:10
61,1,0.267279,20.000000,23478.750488,0.249779,0.649214,anonymous,,2026-04-12T19:53:11
62,0,0.156649,15.000000,21707.840820,0.390119,0.377913,anonymous,,2026-04-12T19:53:12
63,1,0.414021,20.000000,18398.499023,0.125336,0.799492,anonymous,,2026-04-12T19:53:13
64,0,0.227753,50.000000,14751.790527,0.290095,0.425843,anonymous,,2026-04-12T19:53:14
65,0,0.230005,30.000000,25162.839600,0.195450,0.433349,anonymous,,2026-04-12T19:53:15
66,1,0.476673,27.000000,24314.344238,0.220408,0.821149,anonymous,,2026-04-12T19:53:17
67,0,0.181231,15.000000,23388.474854,0.396414,0.459854,anonymous,,2026-04-12T19:53:18
68,0,0.226739,48.000000,20721.502197,0.341038,0.422462,anonymous,,2026-04-12T19:53:18
69,2,0.499569,3.000000,2501.601074,0.704979,0.940028,anonymous,,2026-04-12T19:53:20
70,0,0.225327,23.000000,16010.638428,0.247550,0.450894,anonymous,,2026-04-12T19:53:21
71,0,0.223006,48.000000,15689.054932,0.390639,0.410019,anonymous,,2026-04-12T19:53:21
72,1,0.250132,16.000000,11575.453613,0.437985,0.670030,anonymous,,2026-04-12T19:53:23
73,0,0.211886,18.000000,16910.406006,0.285685,0.503558,anonymous,,2026-04-12T19:53:24
74,0,0.237507,49.000000,15384.025146,0.390751,0.458358,anonymous,,2026-04-12T19:53:24
75,0,0.365623,41.000000,13770.286865,0.258909,0.885408,anonymous,,2026-04-12T19:53:29
76,0,0.164833,15.000000,16671.322510,0.241160,0.405193,anonymous,,2026-04-12T19:53:30
77,0,0.135658,15.000000,21367.531738,0.403915,0.307944,anonymous,,2026-04-12T19:53:30
78,3,0.484914,39.000000,2698.561035,0.614995,0.915454,anonymous,,2026-04-12T19:53:32
79,0,0.210685,43.000000,14060.616455,0.401979,0.368951,anonymous,,2026-04-12T19:53:32
80,0,0.483089,9.000000,6551.540771,0.767077,0.571883,anonymous,,2026-04-12T19:53:33
81,1,0.325012,30.000000,24295.359863,0.159056,0.750039,anonymous,,2026-04-12T19:53:34
82,0,0.200998,24.000000,18812.565674,0.292505,0.350307,anonymous,,2026-04-12T19:53:35
83,0,0.225529,47.000000,17527.425537,0.488500,0.418429,anonymous,,2026-04-12T19:53:36
84,3,0.674066,4.000000,2715.126953,0.752903,0.936925,anonymous,,2026-04-12T19:53:38
85,0,0.226426,48.000000,8469.468018,0.474814,0.421420,anonymous,,2026-04-12T19:53:38
86,0,0.248391,48.000000,14859.685303,0.340739,0.420237,anonymous,,2026-04-12T19:53:38
87,3,0.768811,0.000000,2092.916504,0.850208,0.912906,anonymous,,2026-04-12T19:53:40
88,0,0.138512,14.000000,9129.054443,0.456179,0.336950,anonymous,,2026-04-12T19:53:41
89,1,0.276080,46.000000,16413.850098,0.218286,0.586932,anonymous,,2026-04-12T19:53:42
90,1,0.341162,15.000000,5459.712158,0.525729,0.768929,anonymous,,2026-04-12T19:53:46
91,0,0.219216,41.000000,12653.316406,0.270932,0.397388,anonymous,,2026-04-12T19:53:46
92,0,0.195165,45.000000,18140.294922,0.314653,0.317216,anonymous,,2026-04-12T19:53:47
93,1,0.325303,8.000000,4380.529053,0.560892,0.923971,anonymous,,2026-04-12T19:53:48
94,0,0.233188,25.000000,19087.390381,0.169879,0.443962,anonymous,,2026-04-12T19:53:48
95,0,0.204863,44.000000,17220.208984,0.268213,0.349544,anonymous,,2026-04-12T19:53:49
96,3,0.596087,6.000000,3550.830566,0.676766,0.954247,anonymous,,2026-04-12T19:53:50
97,0,0.249608,44.000000,23737.907959,0.180637,0.498694,anonymous,,2026-04-12T19:53:51
98,0,0.208104,24.000000,15474.786621,0.451930,0.373991,anonymous,,2026-04-12T19:53:51
99,1,0.321948,17.000000,12462.360596,0.305038,0.889925,anonymous,,2026-04-12T19:53:52
100,0,0.177476,17.000000,15877.486328,0.257353,0.408352,anonymous,,2026-04-12T19:53:53
101,0,0.214695,37.000000,13028.758301,0.312454,0.382317,anonymous,,2026-04-12T19:53:53
102,1,0.484908,27.000000,26503.570068,0.254915,0.834609,anonymous,,2026-04-12T19:53:54
103,0,0.224277,41.000000,12466.754395,0.154516,0.414258,anonymous,,2026-04-12T19:53:55
104,0,0.190916,48.000000,9799.423584,0.518625,0.303052,anonymous,,2026-04-12T19:53:55
105,1,0.325291,20.000000,7967.316406,0.363745,0.842588,anonymous,,2026-04-12T19:53:57
106,0,0.247755,40.000000,19173.836182,0.266969,0.492518,anonymous,,2026-04-12T19:53:58
