pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,anonymous,,2026-04-13T11:52:15
2,0,,,,,,anonymous,,2026-04-13T11:52:15
3,2,0.653299,23.000000,5788.830078,0.337294,0.938734,anonymous,,2026-04-13T11:52:18
4,0,0.262876,13.000000,16112.069580,0.286747,0.385495,anonymous,,2026-04-13T11:52:18
5,0,0.318200,17.000000,11561.095947,0.407210,0.438715,anonymous,,2026-04-13T11:52:19
6,1,0.514445,7.000000,6184.038574,0.580673,0.814061,anonymous,,2026-04-13T11:52:22
7,0,0.375343,24.000000,17111.033936,0.255784,0.465727,anonymous,,2026-04-13T11:52:23
8,0,0.384104,42.000000,27824.931152,0.262657,0.473506,anonymous,,2026-04-13T11:52:24
9,3,0.708546,6.000000,4631.767578,0.646438,0.958130,anonymous,,2026-04-13T11:52:26
10,0,0.309096,17.000000,15455.859863,0.270323,0.423542,anonymous,,2026-04-13T11:52:26
11,0,0.439946,34.000000,31933.386963,0.218888,0.566576,anonymous,,2026-04-13T11:52:27
12,2,0.491102,16.000000,16710.375000,0.529867,0.731142,anonymous,,2026-04-13T11:52:28
13,0,0.255935,16.000000,11162.988770,0.389049,0.344687,anonymous,,2026-04-13T11:52:28
14,0,0.250106,18.000000,19662.906006,0.366006,0.315478,anonymous,,2026-04-13T11:52:29
15,2,0.688453,29.000000,18732.806641,0.143791,0.909375,anonymous,,2026-04-13T11:52:31
16,0,0.289244,16.000000,11242.178223,0.445886,0.400202,anonymous,,2026-04-13T11:52:31
17,1,0.514832,19.000000,15371.144775,0.340168,0.648713,anonymous,,2026-04-13T11:52:32
18,1,0.631594,48.000000,16663.854248,0.150518,0.885990,anonymous,,2026-04-13T11:52:33
19,0,0.340686,47.000000,17598.317871,0.491546,0.401144,anonymous,,2026-04-13T11:52:34
20,2,0.684998,12.000000,8756.039063,0.340918,0.936740,anonymous,,2026-04-13T11:52:36
21,2,0.599758,22.000000,17196.684570,0.242016,0.859246,anonymous,,2026-04-13T11:52:37
22,0,0.383470,47.000000,18885.856934,0.277869,0.472450,anonymous,,2026-04-13T11:52:38
23,0,0.375045,42.000000,20592.962646,0.245546,0.458408,anonymous,,2026-04-13T11:52:39
24,1,0.609243,8.000000,4007.555908,0.631279,0.930449,anonymous,,2026-04-13T11:52:41
25,2,0.545946,21.000000,22651.967773,0.369002,0.779305,anonymous,,2026-04-13T11:52:43
26,0,0.239981,12.000000,12417.167480,0.402252,0.346886,anonymous,,2026-04-13T11:52:43
27,3,0.536232,6.000000,3650.458496,0.589226,0.843999,anonymous,,2026-04-13T11:52:45
28,0,0.331001,19.000000,12903.377686,0.278596,0.440558,anonymous,,2026-04-13T11:52:46
29,0,0.337186,22.000000,5254.295898,0.269093,0.421625,anonymous,,2026-04-13T11:52:46
30,2,0.485192,24.000000,15859.481445,0.352343,0.648809,anonymous,,2026-04-13T11:52:48
31,0,0.408553,43.000000,18941.149414,0.259470,0.514255,anonymous,,2026-04-13T11:52:48
32,0,0.305644,13.000000,12296.273682,0.247347,0.456775,anonymous,,2026-04-13T11:52:49
33,2,0.562907,4.000000,1683.578857,0.715015,0.768906,anonymous,,2026-04-13T11:52:52
34,0,0.273676,46.000000,16109.016357,0.494503,0.244757,anonymous,,2026-04-13T11:52:53
35,0,0.342418,43.000000,25304.222900,0.174545,0.404030,anonymous,,2026-04-13T11:52:54
36,3,0.602646,5.000000,3653.096924,0.645905,0.912454,anonymous,,2026-04-13T11:53:20
37,0,0.399590,24.000000,21868.415771,0.237289,0.506140,anonymous,,2026-04-13T11:53:21
38,0,0.441989,46.000000,16650.499512,0.203201,0.569982,anonymous,,2026-04-13T11:53:23
39,1,0.627560,23.000000,18961.826660,0.142643,0.895836,anonymous,,2026-04-13T11:53:26
40,0,0.381753,39.000000,14817.676514,0.172360,0.469588,anonymous,,2026-04-13T11:53:27
41,0,0.322412,49.000000,15680.664551,0.294602,0.370687,anonymous,,2026-04-13T11:53:27
42,2,0.653661,8.000000,5674.336426,0.542587,0.938619,anonymous,,2026-04-13T11:53:32
