pair_id,label,similarity_score,annotator,note,timestamp
1,0,0.180132,K,,2026-03-19T14:07:57
2,0,0.256488,K,,2026-03-19T14:08:14
3,2,0.346549,K,,2026-03-19T14:08:18
4,0,0.147227,K,,2026-03-19T14:08:19
5,0,0.186585,K,,2026-03-19T14:08:19
6,1,0.326229,K,,2026-03-19T14:08:23
7,0,0.235624,K,,2026-03-19T14:08:24
8,0,0.242052,K,,2026-03-19T14:08:24
9,1,0.405166,K,,2026-03-19T14:08:28
10,0,0.182033,K,,2026-03-19T14:08:29
11,0,0.269973,K,,2026-03-19T14:08:30
12,2,0.470093,K,,2026-03-19T14:08:32
13,0,0.152529,K,,2026-03-19T14:08:32
14,0,0.155462,K,,2026-03-19T14:08:34
15,3,0.359915,K,,2026-03-19T14:08:39
16,0,0.169184,K,,2026-03-19T14:08:39
17,0,0.349687,K,,2026-03-19T14:08:42
18,1,0.340693,K,,2026-03-19T14:08:44
19,0,0.220343,K,,2026-03-19T14:08:44
20,2,0.452587,K,,2026-03-19T14:08:47
21,2,0.336947,K,,2026-03-19T14:08:48
22,0,0.241735,K,,2026-03-19T14:08:49
23,0,0.237522,K,,2026-03-19T14:08:50
24,1,0.339513,K,,2026-03-19T14:08:51
25,1,0.312154,K,,2026-03-19T14:08:53
26,0,0.138975,K,,2026-03-19T14:08:54
27,2,0.493451,K,,2026-03-19T14:08:56
28,0,0.198834,K,,2026-03-19T14:08:57
29,0,0.210698,K,,2026-03-19T14:08:58
30,1,0.232956,K,,2026-03-19T14:08:59
31,0,0.254276,K,,2026-03-19T14:08:59
32,0,0.168611,K,,2026-03-19T14:09:00
33,2,0.573671,K,,2026-03-19T14:09:02
34,0,0.213660,K,,2026-03-19T14:09:03
35,0,0.221209,K,,2026-03-19T14:09:04
36,2,0.429717,K,,2026-03-19T14:09:05
37,0,0.247748,K,,2026-03-19T14:09:06
38,0,0.270995,K,,2026-03-19T14:09:09
39,2,0.366725,K,,2026-03-19T14:09:12
40,0,0.240876,K,,2026-03-19T14:09:12
41,0,0.211206,K,,2026-03-19T14:09:13
42,3,0.403032,K,,2026-03-19T14:09:18
43,0,0.214007,K,,2026-03-19T14:09:18
44,0,0.200790,K,,2026-03-19T14:09:19
45,1,0.253391,K,,2026-03-19T14:09:20
46,0,0.225549,K,,2026-03-19T14:09:21
47,0,0.244858,K,,2026-03-19T14:09:21
48,1,0.238117,K,,2026-03-19T14:09:25
49,0,0.117468,K,,2026-03-19T14:09:26
50,0,0.219102,K,,2026-03-19T14:09:27
51,1,0.181198,K,,2026-03-19T14:09:28
52,0,0.166859,K,,2026-03-19T14:09:28
53,1,0.290330,K,,2026-03-19T14:09:32
54,3,0.309769,K,,2026-03-19T14:09:34
55,0,0.167021,K,,2026-03-19T14:09:35
56,0,0.228628,K,,2026-03-19T14:09:36
57,2,0.371184,K,,2026-03-19T14:09:37
58,0,0.230309,K,,2026-03-19T14:09:38
59,1,0.345594,K,,2026-03-19T14:09:41
60,1,0.559292,K,,2026-03-19T14:09:42
61,1,0.267279,K,,2026-03-19T14:09:46
62,0,0.156649,K,,2026-03-19T14:09:47
63,1,0.282913,K,,2026-03-19T14:09:49
64,0,0.227753,K,,2026-03-19T14:09:50
65,0,0.230005,K,,2026-03-19T14:09:50
66,2,0.288233,K,,2026-03-19T14:09:54
67,0,0.181231,K,,2026-03-19T14:09:55
68,0,0.226739,K,,2026-03-19T14:09:56
69,3,0.563757,K,,2026-03-19T14:09:59
70,0,0.225327,K,,2026-03-19T14:10:00
71,0,0.223006,K,,2026-03-19T14:10:01
72,2,0.461813,K,,2026-03-19T14:10:03
73,0,0.211886,K,,2026-03-19T14:10:04
74,0,0.237507,K,,2026-03-19T14:10:05
75,2,0.456851,K,,2026-03-19T14:10:06
76,0,0.164833,K,,2026-03-19T14:10:07
77,0,0.135658,K,,2026-03-19T14:10:08
78,3,0.428597,K,,2026-03-19T14:10:10
79,0,0.210685,K,,2026-03-19T14:10:11
80,0,0.483089,K,,2026-03-19T14:10:12
81,2,0.438820,K,,2026-03-19T14:10:21
82,0,0.200998,K,,2026-03-19T14:10:21
83,0,0.225529,K,,2026-03-19T14:10:22
84,2,0.470218,K,,2026-03-19T14:10:23
85,0,0.226426,K,,2026-03-19T14:10:24
86,0,0.248391,K,,2026-03-19T14:10:25
87,1,0.445273,K,,2026-03-19T14:10:26
88,0,0.138512,K,,2026-03-19T14:10:27
89,1,0.276080,K,,2026-03-19T14:10:28
90,2,0.388006,K,,2026-03-19T14:10:30
91,0,0.219216,K,,2026-03-19T14:10:31
92,0,0.195165,K,,2026-03-19T14:10:32
93,2,0.332558,K,,2026-03-19T14:10:41
94,0,0.233188,K,,2026-03-19T14:10:42
95,0,0.204863,K,,2026-03-19T14:10:43
96,3,0.600551,K,,2026-03-19T14:10:44
97,0,0.249608,K,,2026-03-19T14:10:45
98,0,0.208104,K,,2026-03-19T14:10:46
99,1,0.329155,K,,2026-03-19T14:10:49
100,0,0.177476,K,,2026-03-19T14:10:50
101,0,0.214695,K,,2026-03-19T14:10:50
102,2,0.336062,K,,2026-03-19T14:10:52
103,0,0.224277,K,,2026-03-19T14:10:53
104,0,0.190916,K,,2026-03-19T14:10:54
105,2,0.276892,K,,2026-03-19T14:10:56
106,0,0.247755,K,,2026-03-19T14:10:57
107,1,0.322395,K,,2026-03-19T14:11:02
108,1,0.236464,K,,2026-03-19T14:11:05
109,0,0.146618,K,,2026-03-19T14:11:07
110,0,0.205243,K,,2026-03-19T14:11:09
111,0,0.268325,K,,2026-03-19T14:11:11
112,1,0.273112,K,,2026-03-19T14:11:16
113,0,0.213721,K,,2026-03-19T14:11:17
114,1,0.187028,K,,2026-03-19T14:11:19
115,0,0.145607,K,,2026-03-19T14:11:20
116,0,0.228649,K,,2026-03-19T14:11:20
117,3,0.626599,K,,2026-03-19T14:11:23
118,0,0.227256,K,,2026-03-19T14:11:24
119,0,0.237400,K,,2026-03-19T14:11:24
120,2,0.377685,K,,2026-03-19T14:11:29
121,0,0.209702,K,,2026-03-19T14:11:30
122,0,0.201359,K,,2026-03-19T14:11:31
123,2,0.321282,K,,2026-03-19T14:11:35
124,0,0.233660,K,,2026-03-19T14:11:35
125,0,0.198044,K,,2026-03-19T14:11:36
126,2,0.376106,K,,2026-03-19T14:11:41
127,0,0.253240,K,,2026-03-19T14:11:42
128,0,0.241870,K,,2026-03-19T14:11:43
129,2,0.340141,K,,2026-03-19T14:11:46
130,0,0.223120,K,,2026-03-19T14:11:46
131,1,0.337733,K,,2026-03-19T14:11:49
132,1,0.249995,K,,2026-03-19T14:11:52
133,0,0.242409,K,,2026-03-19T14:11:53
134,0,0.189351,K,,2026-03-19T14:11:53
135,2,0.287254,K,,2026-03-19T14:11:59
136,0,0.238065,K,,2026-03-19T14:12:00
137,2,0.361609,K,,2026-03-19T14:12:03
138,1,0.340868,K,,2026-03-19T14:12:05
139,0,0.240604,K,,2026-03-19T14:12:06
140,1,0.199726,K,,2026-03-19T14:12:08
141,3,0.490114,K,,2026-03-19T14:12:09
142,1,0.338245,K,,2026-03-19T14:12:11
143,0,0.206854,K,,2026-03-19T14:12:12
144,3,0.530269,K,,2026-03-19T14:12:14
145,0,0.195282,K,,2026-03-19T14:12:15
146,0,0.223929,K,,2026-03-19T14:12:16
147,2,0.423072,K,,2026-03-19T14:12:22
148,1,0.264773,K,,2026-03-19T14:12:23
149,1,0.380302,K,,2026-03-19T14:12:24
150,0,0.255168,K,,2026-03-19T14:12:26
151,2,0.345429,K,,2026-03-19T14:12:29
152,1,0.297537,K,,2026-03-19T14:12:30
153,1,0.199483,K,,2026-03-19T14:12:33
154,0,0.248240,K,,2026-03-19T14:12:34
155,0,0.156015,K,,2026-03-19T14:12:35
156,2,0.288269,K,,2026-03-19T14:12:36
157,2,0.431235,K,,2026-03-19T14:12:39
158,2,0.326918,K,,2026-03-19T14:12:41
159,1,0.316056,K,,2026-03-19T14:12:42
160,0,0.227293,K,,2026-03-19T14:12:43
161,0,0.159778,K,,2026-03-19T14:12:44
162,1,0.317865,K,,2026-03-19T14:12:46
163,0,0.215013,K,,2026-03-19T14:12:47
164,0,0.197648,K,,2026-03-19T14:12:48
165,1,0.281607,K,,2026-03-19T14:12:49
166,0,0.227202,K,,2026-03-19T14:12:49
167,0,0.246027,K,,2026-03-19T14:12:50
168,1,0.336011,K,,2026-03-19T14:12:52
169,0,0.213986,K,,2026-03-19T14:12:52
170,0,0.218193,K,,2026-03-19T14:12:53
171,3,0.666766,K,,2026-03-19T14:12:55
172,2,0.522079,K,,2026-03-19T14:12:57
173,1,0.274092,K,,2026-03-19T14:12:58
174,1,0.316320,K,,2026-03-19T14:12:59
175,0,0.209665,K,,2026-03-19T14:13:00
176,0,0.265516,K,,2026-03-19T14:13:02
177,0,0.234679,K,,2026-03-19T14:13:03
178,0,0.250390,K,,2026-03-19T14:13:04
179,0,0.169159,K,,2026-03-19T14:13:04
180,3,0.568872,K,,2026-03-19T14:13:09
181,0,0.224028,K,,2026-03-19T14:14:01
182,0,0.222354,K,,2026-03-19T14:14:03
183,3,0.385660,K,,2026-03-19T14:14:04
184,0,0.178328,K,,2026-03-19T14:14:05
185,0,0.203640,K,,2026-03-19T14:14:06
186,1,0.312144,K,,2026-03-19T14:14:07
187,1,0.292809,K,,2026-03-19T14:14:08
188,0,0.278766,K,,2026-03-19T14:14:10
189,2,0.346239,K,,2026-03-19T14:14:12
190,0,0.259945,K,,2026-03-19T14:14:14
191,0,0.176516,K,,2026-03-19T14:14:15
192,1,0.333874,K,,2026-03-19T14:14:17
193,0,0.204893,K,,2026-03-19T14:14:18
194,0,0.196457,K,,2026-03-19T14:14:19
195,1,0.323475,K,,2026-03-19T14:14:20
196,0,0.174025,K,,2026-03-19T14:14:20
197,0,0.207492,K,,2026-03-19T14:14:21
198,1,0.345596,K,,2026-03-19T14:14:22
199,0,0.180168,K,,2026-03-19T14:14:23
200,0,0.184057,K,,2026-03-19T14:14:23
201,1,0.275444,K,,2026-03-19T14:14:27
202,0,0.194215,K,,2026-03-19T14:14:27
203,0,0.193467,K,,2026-03-19T14:14:28
204,3,0.334002,K,,2026-03-19T14:14:29
205,0,0.175978,K,,2026-03-19T14:14:30
206,1,0.266301,K,,2026-03-19T14:14:31
207,2,0.665139,K,,2026-03-19T14:14:34
208,0,0.207636,K,,2026-03-19T14:14:34
209,0,0.194680,K,,2026-03-19T14:14:35
210,2,0.415395,K,,2026-03-19T14:14:36
211,1,0.288818,K,,2026-03-19T14:14:41
212,0,0.244168,K,,2026-03-19T14:14:41
213,3,0.607187,K,,2026-03-19T14:14:43
214,2,0.361700,K,,2026-03-19T14:14:46
215,0,0.208601,K,,2026-03-19T14:14:47
216,1,0.206289,K,,2026-03-19T14:14:48
217,0,0.215783,K,,2026-03-19T14:14:49
218,1,0.334801,K,,2026-03-19T14:14:51
219,0,0.257140,K,,2026-03-19T14:14:53
220,2,0.497864,K,,2026-03-19T14:14:54
221,0,0.215964,K,,2026-03-19T14:14:55
222,1,0.472867,K,,2026-03-19T14:14:56
223,0,0.238965,K,,2026-03-19T14:14:56
224,0,0.191276,K,,2026-03-19T14:14:57
225,3,0.495183,K,,2026-03-19T14:14:58
226,1,0.295661,K,,2026-03-19T14:15:00
227,0,0.236206,K,,2026-03-19T14:15:01
228,2,0.298191,K,,2026-03-19T14:15:02
229,0,0.191574,K,,2026-03-19T14:15:02
230,0,0.210420,K,,2026-03-19T14:15:03
231,3,0.665095,K,,2026-03-19T14:15:07
232,1,0.340633,K,,2026-03-19T14:15:10
233,1,0.315505,K,,2026-03-19T14:15:12
234,1,0.300464,K,,2026-03-19T14:15:14
235,0,0.190899,K,,2026-03-19T14:15:15
236,0,0.146256,K,,2026-03-19T14:15:16
237,3,0.273011,K,,2026-03-19T14:15:18
238,0,0.218654,K,,2026-03-19T14:15:23
239,1,0.252773,K,,2026-03-19T14:15:24
240,1,0.540587,K,,2026-03-19T14:15:24
241,0,0.211752,K,,2026-03-19T14:15:25
242,0,0.231624,K,,2026-03-19T14:15:26
243,1,0.229928,K,,2026-03-19T14:15:27
244,0,0.239361,K,,2026-03-19T14:15:28
245,0,0.246161,K,,2026-03-19T14:15:28
246,1,0.429276,K,,2026-03-19T14:15:29
247,1,0.221729,K,,2026-03-19T14:15:30
248,0,0.238587,K,,2026-03-19T14:15:32
249,3,0.701367,K,,2026-03-19T14:15:34
250,0,0.199644,K,,2026-03-19T14:15:37
251,1,0.500443,K,,2026-03-19T14:15:39
252,2,0.377665,K,,2026-03-19T14:15:42
253,0,0.173229,K,,2026-03-19T14:15:43
254,0,0.246143,K,,2026-03-19T14:15:43
255,2,0.339505,K,,2026-03-19T14:15:44
256,1,0.298880,K,,2026-03-19T14:15:46
