pair_id,label,annotator,note,timestamp
1,0,anonymous,,2026-03-18T15:33:58
2,0,anonymous,,2026-03-18T15:33:59
3,2,anonymous,,2026-03-18T15:34:02
4,0,anonymous,,2026-03-18T15:34:03
5,0,anonymous,,2026-03-18T15:34:04
6,1,anonymous,,2026-03-18T15:34:05
7,0,anonymous,,2026-03-18T15:34:06
8,0,anonymous,,2026-03-18T15:34:07
9,1,anonymous,,2026-03-18T15:34:08
10,0,anonymous,,2026-03-18T15:34:09
11,0,anonymous,,2026-03-18T15:34:09
12,2,anonymous,,2026-03-18T15:34:12
13,0,anonymous,,2026-03-18T15:35:00
14,0,anonymous,,2026-03-18T15:35:00
15,1,anonymous,,2026-03-18T15:35:02
16,0,anonymous,,2026-03-18T15:35:02
17,0,anonymous,,2026-03-18T15:35:03
18,1,anonymous,,2026-03-18T15:35:06
19,0,anonymous,,2026-03-18T15:35:06
20,2,anonymous,,2026-03-18T15:35:08
21,2,anonymous,,2026-03-18T15:35:10
22,0,anonymous,,2026-03-18T15:35:11
23,0,anonymous,,2026-03-18T15:35:11
24,1,anonymous,,2026-03-18T15:35:13
25,0,anonymous,,2026-03-18T15:35:14
26,0,anonymous,,2026-03-18T15:35:15
27,2,anonymous,,2026-03-18T15:35:16
28,0,anonymous,,2026-03-18T15:35:17
29,0,anonymous,,2026-03-18T15:35:17
