pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,anonymous,,2026-04-12T01:20:23
2,0,,,,,,anonymous,,2026-04-12T01:20:23
3,0,,,,,,anonymous,,2026-04-12T01:20:25
4,0,0.147227,13.000000,16112.069580,0.286747,0.385495,anonymous,,2026-04-12T01:20:26
5,0,0.186585,17.000000,11561.095947,0.407210,0.438715,anonymous,,2026-04-12T01:20:27
6,0,0.310413,7.000000,6209.733398,0.578080,0.813826,anonymous,,2026-04-12T01:20:27
7,0,0.235624,24.000000,17111.033936,0.255784,0.465727,anonymous,,2026-04-12T01:20:27
8,0,0.242052,42.000000,27824.931152,0.262657,0.473506,anonymous,,2026-04-12T01:20:28
9,0,0.552945,6.000000,4631.952148,0.646253,0.958431,anonymous,,2026-04-12T01:20:28
10,0,0.182033,17.000000,15455.859863,0.270323,0.423542,anonymous,,2026-04-12T01:20:29
11,0,0.269973,34.000000,31933.386963,0.218888,0.566576,anonymous,,2026-04-12T01:20:29
