pair_id,label,similarity_score,score_hash,score_mse,score_ssim,score_mobilenet,annotator,note,timestamp
1,0,,,,,,anonymous,,2026-04-12T00:50:19
2,0,,,,,,anonymous,,2026-04-12T00:50:24
2,0,,,,,,anonymous,,2026-04-12T00:50:24
4,0,0.239907,20.000000,19282.170410,0.281284,0.557975,anonymous,,2026-04-12T00:50:26
5,0,0.186585,17.000000,11561.095947,0.407210,0.438715,anonymous,,2026-04-12T00:50:27
6,0,0.313302,7.000000,6190.055664,0.580360,0.814395,anonymous,,2026-04-12T00:50:27
7,0,0.235624,24.000000,17111.033936,0.255784,0.465727,anonymous,,2026-04-12T00:50:28
8,0,0.242052,42.000000,27824.931152,0.262657,0.473506,anonymous,,2026-04-12T00:50:28
9,0,0.552606,6.000000,4631.758057,0.646447,0.958150,anonymous,,2026-04-12T00:50:29
10,0,0.182033,17.000000,15455.859863,0.270323,0.423542,anonymous,,2026-04-12T00:50:29
11,0,0.269973,34.000000,31933.386963,0.218888,0.566576,anonymous,,2026-04-12T00:50:30
